"customer_id","customer_name","service_plan","service_address","provisioned_bandwidth_down_mbps","provisioned_bandwidth_up_mbps","router_serial_number","account_status","email","location","created_at","updated_at","contact_phone","multi_site","subscription_tier","industry"
CUST-001197,City Technologies,Standard Internet,"8937 Krystal Place, Tampa, FL 33622",300,50,RT-FTR001197,Suspended,support1197@maldonado-smith.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001198,Digital Associates,Standard Internet,"0405 James River, Tampa, FL 33607",300,50,RT-HPE001198,Active,support1198@jennings-carroll.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001199,Metro Real Estate Partners,Basic Internet,"48255 King Pine, Tampa, FL 33612",100,20,RT-JNP001199,Inactive,support1199@murray-long.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001200,Digital Retail Industries,Basic Internet,"423 Frances Streets Suite 633, Tampa, FL 33617",100,20,RT-HPE001200,Suspended,support1200@horne.com,"Tampa, FL",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001318,Prime Services,Enterprise Plus,"209 Amber Isle, Dallas, TX 75201",5000,1000,RT-CIS001318,Active,support1318@rodriguez-snyder.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001319,Innovative Legal LLC,Business Premium,"913 Stephanie Courts, Dallas, TX 75218",1000,250,RT-FTR001319,Cancelled,support1319@maxwell-pugh.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001320,Regional LLC,Basic Internet,"54760 Gary Burg, Dallas, TX 75208",100,20,RT-CIS001320,Inactive,support1320@love-watson.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001321,Tech LLC,Standard Internet,"1201 Ian Island Suite 002, Dallas, TX 75201",300,50,RT-FTR001321,Inactive,support1321@malone-lyons.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001322,Prime Technologies,Enterprise Plus,"1532 Levy Shoal, Dallas, TX 75251",5000,1000,RT-FTR001322,Inactive,support1322@parks.org,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001323,National Services,Business Premium,"74071 Padilla Vista Apt. 798, Dallas, TX 75241",1000,250,RT-FTR001323,Cancelled,support1323@galvan.org,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001324,Metro Technologies,Basic Internet,"031 Alec Lock Suite 934, Dallas, TX 75207",100,20,RT-JNP001324,Pending,support1324@smith.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001325,Global Legal Associates,Business Elite,"2036 William Square Suite 118, Dallas, TX 75240",2000,500,RT-HPE001325,Cancelled,support1325@sims-browning.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001326,National Technologies,Enterprise Plus,"928 Reed Terrace Apt. 595, Dallas, TX 75211",5000,1000,RT-FTR001326,Active,support1326@williams.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001327,Innovative Associates,Standard Internet,"67990 Raymond Meadow, Dallas, TX 75225",300,50,RT-CIS001327,Active,support1327@brown.info,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001328,City Legal Systems,Business Premium,"37842 Eileen Port Suite 495, Dallas, TX 75240",1000,250,RT-CIS001328,Inactive,support1328@smith.info,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001329,Elite Corp,Business Standard,"2550 Ethan Keys Apt. 173, Dallas, TX 75219",500,100,RT-FTR001329,Inactive,support1329@edwards-anderson.biz,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001330,National Tech Corp,Standard Internet,"1784 Brandi Road, Dallas, TX 75209",300,50,RT-CIS001330,Inactive,support1330@stanley.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001331,Digital Financial LLC,Business Elite,"45110 Ashley Row, Dallas, TX 75215",2000,500,RT-CIS001331,Active,support1331@combs-williams.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001332,Digital Solutions,Basic Internet,"886 Sanchez Drive, Dallas, TX 75218",100,20,RT-CIS001332,Suspended,support1332@davis.info,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001333,National Group,Business Elite,"90457 Webster Port, Dallas, TX 75252",2000,500,RT-JNP001333,Inactive,support1333@tyler.org,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001334,Tech Consulting Associates,Enterprise Plus,"29964 Randall Fort, Dallas, TX 75243",5000,1000,RT-FTR001334,Suspended,support1334@barnes.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001335,Tech Logistics Associates,Enterprise Plus,"5582 Jonathan Mountain, Dallas, TX 75203",5000,1000,RT-CIS001335,Suspended,support1335@neal.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001336,National Services,Standard Internet,"15238 Henry Meadows Apt. 192, Dallas, TX 75209",300,50,RT-CIS001336,Active,support1336@gomez.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001337,National Company,Business Standard,"059 Ryan Trail Apt. 863, Dallas, TX 75217",500,100,RT-CIS001337,Inactive,support1337@watson.org,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001338,Smart Healthcare Group,Business Premium,"772 Patrick Path Apt. 053, Dallas, TX 75206",1000,250,RT-CIS001338,Active,support1338@nichols-stokes.org,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001339,Smart Financial Systems,Basic Internet,"86928 Nolan Unions, Dallas, TX 75248",100,20,RT-HPE001339,Cancelled,support1339@hill.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001340,Elite Real Estate Industries,Business Premium,"227 Aaron Fall, Dallas, TX 75226",1000,250,RT-CIS001340,Active,support1340@lewis.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001341,United Enterprises,Basic Internet,"204 Joshua Oval, Dallas, TX 75248",100,20,RT-FTR001341,Cancelled,support1341@pena-simon.net,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001342,National Solutions,Enterprise Plus,"65993 Emily Street, Dallas, TX 75248",5000,1000,RT-HPE001342,Inactive,support1342@navarro.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001343,City Financial Inc,Standard Internet,"232 Jennifer Parks Suite 213, Dallas, TX 75203",300,50,RT-FTR001343,Pending,support1343@robbins-williams.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001344,Metro Legal Group,Enterprise Plus,"5064 Gonzalez Springs, Dallas, TX 75217",5000,1000,RT-HPE001344,Suspended,support1344@cooper.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001345,Global Media Group,Business Elite,"7569 Cheryl Fork Apt. 102, Dallas, TX 75210",2000,500,RT-HPE001345,Active,support1345@davis.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001346,Smart Services,Basic Internet,"6902 David Turnpike Apt. 438, Dallas, TX 75236",100,20,RT-HPE001346,Cancelled,support1346@jones-hughes.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001347,Advanced Group,Basic Internet,"131 Tucker Parkway, Dallas, TX 75233",100,20,RT-CIS001347,Active,support1347@richardson.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001348,Regional Services,Business Elite,"7063 Spears Corner Suite 550, Dallas, TX 75241",2000,500,RT-FTR001348,Pending,support1348@perkins-maxwell.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001349,Regional Healthcare Partners,Business Standard,"076 Petty Spur Suite 933, Dallas, TX 75242",500,100,RT-FTR001349,Cancelled,support1349@butler.biz,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001350,Tech  Industries,Business Premium,"3226 Ryan Village, Dallas, TX 75231",1000,250,RT-CIS001350,Inactive,support1350@davis.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001351,Acme Enterprises,Business Standard,"2585 Nunez Courts, Dallas, TX 75230",500,100,RT-HPE001351,Suspended,support1351@robertson.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001352,Prime Consulting Group,Standard Internet,"919 Hernandez Garden Suite 199, Dallas, TX 75233",300,50,RT-FTR001352,Active,support1352@james.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
CUST-001353,Digital Group,Standard Internet,"472 Estrada Lakes, Dallas, TX 75220",300,50,RT-CIS001353,Pending,support1353@young.com,"Dallas, TX",2025-11-02 20:45:19.357,2025-11-02 20:45:19.357,,false,,
