"call_id","customer_id","startdatetime","enddatetime"
2105,CUST-003730,2025-11-18 10:36:20.000,2025-11-18 10:46:20.000
2731,CUST-003890,2025-11-18 10:36:22.000,2025-11-18 10:45:22.000
2897,CUST-003862,2025-11-18 10:37:28.000,2025-11-18 10:41:28.000
2445,CUST-003748,2025-11-18 10:37:52.000,2025-11-18 10:42:52.000
2713,CUST-003868,2025-11-18 10:39:04.000,2025-11-18 10:46:04.000
2901,CUST-003681,2025-11-18 10:39:23.000,2025-11-18 10:53:23.000
2925,CUST-003797,2025-11-18 10:39:28.000,2025-11-18 10:47:28.000
1933,CUST-003891,2025-11-18 10:39:45.000,2025-11-18 10:51:45.000
2801,CUST-003769,2025-11-18 10:39:51.000,2025-11-18 10:47:51.000
2468,CUST-003755,2025-11-18 10:39:56.000,2025-11-18 10:52:56.000
2881,CUST-003755,2025-11-18 10:40:17.000,2025-11-18 10:52:17.000
1854,CUST-003819,2025-11-18 10:40:23.000,2025-11-18 10:54:23.000
2368,CUST-003752,2025-11-18 10:40:39.000,2025-11-18 10:56:39.000
2462,CUST-003844,2025-11-18 10:40:45.000,2025-11-18 10:52:45.000
2893,CUST-003633,2025-11-18 10:41:12.000,2025-11-18 10:51:12.000
2885,CUST-003833,2025-11-18 10:41:15.000,2025-11-18 10:50:15.000
2182,CUST-003840,2025-11-18 10:41:26.000,2025-11-18 10:57:26.000
1644,CUST-003809,2025-11-18 10:42:02.000,2025-11-18 10:46:02.000
2112,CUST-003873,2025-11-18 10:42:23.000,2025-11-18 10:58:23.000
2720,CUST-003997,2025-11-18 10:42:56.000,2025-11-18 10:47:56.000
2783,CUST-003920,2025-11-18 10:43:11.000,2025-11-18 10:47:11.000
1793,CUST-003753,2025-11-18 10:43:19.000,2025-11-18 10:55:19.000
1652,CUST-003874,2025-11-18 10:43:20.000,2025-11-18 10:51:20.000
1984,CUST-003638,2025-11-18 10:43:22.000,2025-11-18 10:54:22.000
2832,CUST-003680,2025-11-18 10:43:50.000,2025-11-18 10:50:50.000
2646,CUST-003851,2025-11-18 10:43:55.000,2025-11-18 10:50:55.000
1797,CUST-003757,2025-11-18 10:44:13.000,2025-11-18 10:50:13.000
1007,CUST-002921,2025-11-18 10:45:00.000,2025-11-18 10:59:00.000
2506,CUST-003678,2025-11-18 10:45:07.000,2025-11-18 10:56:07.000
2943,CUST-003823,2025-11-18 10:45:07.000,2025-11-18 10:52:07.000
1606,CUST-003994,2025-11-18 10:45:18.000,2025-11-18 10:56:18.000
2502,CUST-003805,2025-11-18 10:45:21.000,2025-11-18 10:49:21.000
1097,CUST-004175,2025-11-18 10:46:00.000,2025-11-18 10:50:00.000
1898,CUST-003616,2025-11-18 10:46:00.000,2025-11-18 10:56:00.000
1318,CUST-000174,2025-11-18 10:46:08.000,2025-11-18 10:56:08.000
2128,CUST-003753,2025-11-18 10:47:37.000,2025-11-18 10:59:37.000
1881,CUST-003858,2025-11-18 10:48:01.000,2025-11-18 10:56:01.000
1632,CUST-003658,2025-11-18 10:49:01.000,2025-11-18 11:04:01.000
1706,CUST-003821,2025-11-18 10:49:49.000,2025-11-18 11:04:49.000
1870,CUST-003794,2025-11-18 10:51:42.000,2025-11-18 11:07:42.000
2828,CUST-003909,2025-11-18 10:51:42.000,2025-11-18 11:04:42.000
1801,CUST-003638,2025-11-18 10:52:59.000,2025-11-18 10:58:59.000
1847,CUST-003976,2025-11-18 10:53:07.000,2025-11-18 11:00:07.000
2395,CUST-003956,2025-11-18 10:53:15.000,2025-11-18 11:08:15.000
2264,CUST-003921,2025-11-18 10:53:31.000,2025-11-18 10:58:31.000
2428,CUST-003611,2025-11-18 10:53:54.000,2025-11-18 10:59:54.000
1804,CUST-003910,2025-11-18 10:54:17.000,2025-11-18 11:02:17.000
2203,CUST-003633,2025-11-18 10:54:18.000,2025-11-18 10:59:18.000
1701,CUST-003827,2025-11-18 10:54:21.000,2025-11-18 10:58:21.000
2074,CUST-003805,2025-11-18 10:54:30.000,2025-11-18 11:03:30.000
1979,CUST-003731,2025-11-18 10:55:09.000,2025-11-18 11:03:09.000
1961,CUST-003670,2025-11-18 10:55:13.000,2025-11-18 11:03:13.000
2964,CUST-003876,2025-11-18 10:55:21.000,2025-11-18 11:10:21.000
2450,CUST-003924,2025-11-18 10:56:04.000,2025-11-18 11:11:04.000
2483,CUST-003866,2025-11-18 10:56:18.000,2025-11-18 11:08:18.000
2048,CUST-003928,2025-11-18 10:56:36.000,2025-11-18 11:02:36.000
2097,CUST-003779,2025-11-18 10:56:47.000,2025-11-18 11:08:47.000
2369,CUST-003988,2025-11-18 10:57:18.000,2025-11-18 11:10:18.000
1683,CUST-003625,2025-11-18 10:57:34.000,2025-11-18 11:09:34.000
2604,CUST-003811,2025-11-18 10:57:38.000,2025-11-18 11:09:38.000
2063,CUST-003963,2025-11-18 10:57:57.000,2025-11-18 11:03:57.000
1603,CUST-003963,2025-11-18 10:57:58.000,2025-11-18 11:05:58.000
2596,CUST-003942,2025-11-18 10:57:58.000,2025-11-18 11:01:58.000
2225,CUST-003754,2025-11-18 10:58:09.000,2025-11-18 11:11:09.000
2490,CUST-003876,2025-11-18 10:58:59.000,2025-11-18 11:03:59.000
1845,CUST-003618,2025-11-18 10:59:06.000,2025-11-18 11:03:06.000
1986,CUST-003861,2025-11-18 10:59:21.000,2025-11-18 11:15:21.000
2932,CUST-003899,2025-11-18 10:59:39.000,2025-11-18 11:07:39.000
2635,CUST-003986,2025-11-18 10:59:41.000,2025-11-18 11:03:41.000
2059,CUST-003980,2025-11-18 10:59:45.000,2025-11-18 11:14:45.000
2329,CUST-003606,2025-11-18 10:59:54.000,2025-11-18 11:07:54.000
1746,CUST-003622,2025-11-18 11:00:15.000,2025-11-18 11:11:15.000
2243,CUST-003819,2025-11-18 11:01:36.000,2025-11-18 11:16:36.000
2312,CUST-003714,2025-11-18 11:02:31.000,2025-11-18 11:08:31.000
1792,CUST-003665,2025-11-18 11:03:34.000,2025-11-18 11:11:34.000
1599,CUST-002200,2025-11-18 11:04:00.000,2025-11-18 11:11:00.000
2868,CUST-003792,2025-11-18 11:04:30.000,2025-11-18 11:17:30.000
1513,CUST-000592,2025-11-18 11:07:00.000,2025-11-18 11:19:00.000
1901,CUST-003966,2025-11-18 11:07:40.000,2025-11-18 11:16:40.000
2822,CUST-003716,2025-11-18 11:07:59.000,2025-11-18 11:17:59.000
2378,CUST-003790,2025-11-18 11:08:37.000,2025-11-18 11:20:37.000
2676,CUST-003738,2025-11-18 11:08:58.000,2025-11-18 11:22:58.000
1444,CUST-003699,2025-11-18 11:14:00.000,2025-11-18 11:29:00.000
2041,CUST-003647,2025-11-18 11:14:08.000,2025-11-18 11:29:08.000
1147,CUST-002451,2025-11-18 11:14:19.000,2025-11-18 11:26:19.000
1277,CUST-000060,2025-11-18 11:19:00.000,2025-11-18 11:26:00.000
1571,CUST-001777,2025-11-18 11:25:43.000,2025-11-18 11:31:43.000
1446,CUST-001982,2025-11-18 11:26:00.000,2025-11-18 11:38:00.000
2806,CUST-003809,2025-11-18 11:26:12.000,2025-11-18 11:30:12.000
1445,CUST-000306,2025-11-18 11:27:10.000,2025-11-18 11:38:10.000
1297,CUST-005466,2025-11-18 11:28:00.000,2025-11-18 11:44:00.000
1866,CUST-003623,2025-11-18 11:29:51.000,2025-11-18 11:34:51.000
1522,CUST-003919,2025-11-18 11:34:54.000,2025-11-18 11:40:54.000
1066,CUST-001666,2025-11-18 11:40:00.000,2025-11-18 11:47:00.000
1391,CUST-004894,2025-11-18 11:41:00.000,2025-11-18 11:48:00.000
1205,CUST-001500,2025-11-18 11:45:31.000,2025-11-18 11:52:31.000
1018,CUST-003542,2025-11-18 11:46:00.000,2025-11-18 11:59:00.000
1595,CUST-004027,2025-11-18 11:49:31.000,2025-11-18 12:05:31.000
1357,CUST-002358,2025-11-18 11:50:00.000,2025-11-18 11:58:00.000
1101,CUST-004043,2025-11-18 11:52:16.000,2025-11-18 11:57:16.000
1467,CUST-005594,2025-11-18 12:00:08.000,2025-11-18 12:06:08.000
1268,CUST-000743,2025-11-18 12:08:00.000,2025-11-18 12:19:00.000
1330,CUST-005356,2025-11-18 12:12:00.000,2025-11-18 12:27:00.000
1149,CUST-004996,2025-11-18 12:12:06.000,2025-11-18 12:23:06.000
2094,CUST-003976,2025-11-18 12:13:01.000,2025-11-18 12:17:01.000
1334,CUST-001245,2025-11-18 12:14:04.000,2025-11-18 12:28:04.000
1439,CUST-001255,2025-11-18 12:15:00.000,2025-11-18 12:27:00.000
2869,CUST-003867,2025-11-18 12:16:37.000,2025-11-18 12:28:37.000
1107,CUST-003029,2025-11-18 12:17:00.000,2025-11-18 12:28:00.000
1418,CUST-003858,2025-11-18 12:18:00.000,2025-11-18 12:29:00.000
1108,CUST-003553,2025-11-18 12:24:09.000,2025-11-18 12:35:09.000
1392,CUST-004192,2025-11-18 12:26:00.000,2025-11-18 12:38:00.000
1359,CUST-001945,2025-11-18 12:26:25.000,2025-11-18 12:42:25.000
1423,CUST-005288,2025-11-18 12:39:00.000,2025-11-18 12:46:00.000
1167,CUST-000938,2025-11-18 12:41:00.000,2025-11-18 12:48:00.000
1160,CUST-003022,2025-11-18 12:42:00.000,2025-11-18 12:57:00.000
1546,CUST-004016,2025-11-18 12:44:00.000,2025-11-18 13:00:00.000
1118,CUST-001755,2025-11-18 12:50:00.000,2025-11-18 13:03:00.000
1246,CUST-003297,2025-11-18 12:54:00.000,2025-11-18 13:04:00.000
1532,CUST-001499,2025-11-18 13:03:00.000,2025-11-18 13:11:00.000
1058,CUST-005288,2025-11-18 13:09:00.000,2025-11-18 13:14:00.000
1238,CUST-000717,2025-11-18 13:11:00.000,2025-11-18 13:25:00.000
1437,CUST-000048,2025-11-18 13:20:00.000,2025-11-18 13:33:00.000
1201,CUST-000206,2025-11-18 13:27:00.000,2025-11-18 13:32:00.000
1429,CUST-001751,2025-11-18 13:34:00.000,2025-11-18 13:46:00.000
1347,CUST-001615,2025-11-18 13:36:00.000,2025-11-18 13:46:00.000
1293,CUST-000745,2025-11-18 13:41:00.000,2025-11-18 13:45:00.000
1157,CUST-002507,2025-11-18 13:51:00.000,2025-11-18 13:55:00.000
1154,CUST-002960,2025-11-18 14:01:00.000,2025-11-18 14:13:00.000
1319,CUST-003493,2025-11-18 14:20:00.000,2025-11-18 14:26:00.000
1060,CUST-002540,2025-11-18 14:22:00.000,2025-11-18 14:28:00.000
1503,CUST-004503,2025-11-18 14:30:00.000,2025-11-18 14:37:00.000
1088,CUST-004399,2025-11-18 14:40:00.000,2025-11-18 14:51:00.000
1053,CUST-004743,2025-11-18 14:48:00.000,2025-11-18 15:00:00.000
1282,CUST-000606,2025-11-18 14:52:00.000,2025-11-18 14:59:00.000
1171,CUST-000359,2025-11-18 14:54:00.000,2025-11-18 15:01:00.000
1050,CUST-000661,2025-11-18 14:55:00.000,2025-11-18 15:10:00.000
1514,CUST-002258,2025-11-18 15:07:00.000,2025-11-18 15:23:00.000
1574,CUST-003176,2025-11-18 15:09:00.000,2025-11-18 15:23:00.000
1327,CUST-000576,2025-11-18 15:14:00.000,2025-11-18 15:27:00.000
1129,CUST-003058,2025-11-18 15:15:00.000,2025-11-18 15:24:00.000
1367,CUST-004744,2025-11-18 15:18:00.000,2025-11-18 15:34:00.000
1428,CUST-000877,2025-11-18 15:21:00.000,2025-11-18 15:25:00.000
1296,CUST-000906,2025-11-18 15:24:00.000,2025-11-18 15:30:00.000
1100,CUST-000425,2025-11-18 15:35:00.000,2025-11-18 15:48:00.000
1385,CUST-004439,2025-11-18 15:38:00.000,2025-11-18 15:44:00.000
1052,CUST-003895,2025-11-18 15:39:00.000,2025-11-18 15:51:00.000
1498,CUST-004603,2025-11-18 15:49:00.000,2025-11-18 15:58:00.000
1055,CUST-000627,2025-11-18 15:56:00.000,2025-11-18 16:05:00.000
1164,CUST-004667,2025-11-18 16:09:00.000,2025-11-18 16:18:00.000
1515,CUST-002149,2025-11-18 16:16:00.000,2025-11-18 16:30:00.000
1177,CUST-004867,2025-11-18 16:37:00.000,2025-11-18 16:53:00.000
1495,CUST-002987,2025-11-18 16:42:00.000,2025-11-18 16:58:00.000
1207,CUST-005025,2025-11-18 16:43:00.000,2025-11-18 16:59:00.000
1333,CUST-004681,2025-11-18 16:43:00.000,2025-11-18 16:54:00.000
1549,CUST-002413,2025-11-18 16:45:00.000,2025-11-18 16:52:00.000
1323,CUST-005323,2025-11-18 16:50:00.000,2025-11-18 17:06:00.000
1274,CUST-001869,2025-11-18 16:58:00.000,2025-11-18 17:13:00.000
1113,CUST-001108,2025-11-18 17:09:00.000,2025-11-18 17:19:00.000
1397,CUST-003120,2025-11-18 17:14:00.000,2025-11-18 17:28:00.000
1409,CUST-002579,2025-11-18 17:17:00.000,2025-11-18 17:31:00.000
1368,CUST-002327,2025-11-18 17:29:00.000,2025-11-18 17:45:00.000
1211,CUST-003020,2025-11-18 17:30:00.000,2025-11-18 17:37:00.000
1243,CUST-004707,2025-11-18 17:31:00.000,2025-11-18 17:47:00.000
1590,CUST-005144,2025-11-18 17:32:00.000,2025-11-18 17:43:00.000
1553,CUST-004053,2025-11-18 17:37:00.000,2025-11-18 17:45:00.000
1030,CUST-002447,2025-11-18 18:19:00.000,2025-11-18 18:24:00.000
1182,CUST-000025,2025-11-18 19:55:00.000,2025-11-18 20:09:00.000
1433,CUST-001404,2025-11-19 09:04:00.000,2025-11-19 09:17:00.000
1465,CUST-001930,2025-11-19 09:10:00.000,2025-11-19 09:16:00.000
1342,CUST-001377,2025-11-19 09:14:00.000,2025-11-19 09:24:00.000
1358,CUST-002061,2025-11-19 09:15:00.000,2025-11-19 09:23:00.000
1578,CUST-002404,2025-11-19 09:17:00.000,2025-11-19 09:31:00.000
1011,CUST-000566,2025-11-19 09:22:00.000,2025-11-19 09:29:00.000
1346,CUST-001728,2025-11-19 09:23:00.000,2025-11-19 09:37:00.000
1121,CUST-004382,2025-11-19 09:35:00.000,2025-11-19 09:41:00.000
1555,CUST-000652,2025-11-19 09:35:00.000,2025-11-19 09:44:00.000
1082,CUST-000092,2025-11-19 09:52:00.000,2025-11-19 10:02:00.000
1089,CUST-001768,2025-11-19 09:58:00.000,2025-11-19 10:11:00.000
1258,CUST-000955,2025-11-19 10:05:00.000,2025-11-19 10:17:00.000
1435,CUST-000476,2025-11-19 10:17:00.000,2025-11-19 10:25:00.000
1141,CUST-000581,2025-11-19 10:19:00.000,2025-11-19 10:26:00.000
1197,CUST-004808,2025-11-19 10:37:00.000,2025-11-19 10:47:00.000
1085,CUST-000157,2025-11-19 10:55:00.000,2025-11-19 11:06:00.000
1354,CUST-002592,2025-11-19 10:55:00.000,2025-11-19 11:00:00.000
1186,CUST-000347,2025-11-19 10:59:00.000,2025-11-19 11:05:00.000
1482,CUST-000915,2025-11-19 11:08:00.000,2025-11-19 11:13:00.000
1267,CUST-004919,2025-11-19 11:09:00.000,2025-11-19 11:14:00.000
1340,CUST-001287,2025-11-19 11:10:00.000,2025-11-19 11:19:00.000
1022,CUST-000148,2025-11-19 11:19:00.000,2025-11-19 11:32:00.000
1275,CUST-004762,2025-11-19 11:27:00.000,2025-11-19 11:41:00.000
1403,CUST-004806,2025-11-19 11:31:00.000,2025-11-19 11:39:00.000
1586,CUST-003017,2025-11-19 11:36:00.000,2025-11-19 11:52:00.000
1095,CUST-001879,2025-11-19 11:37:00.000,2025-11-19 11:47:00.000
1230,CUST-005536,2025-11-19 11:40:00.000,2025-11-19 11:51:00.000
1092,CUST-005065,2025-11-19 11:44:00.000,2025-11-19 11:56:00.000
1582,CUST-004036,2025-11-19 11:46:00.000,2025-11-19 11:56:00.000
1356,CUST-003538,2025-11-19 11:53:26.000,2025-11-19 12:06:26.000
1004,CUST-003465,2025-11-19 11:59:00.000,2025-11-19 12:15:00.000
1239,CUST-001462,2025-11-19 12:02:00.000,2025-11-19 12:17:00.000
1441,CUST-000754,2025-11-19 12:05:00.000,2025-11-19 12:20:00.000
1579,CUST-005214,2025-11-19 12:07:00.000,2025-11-19 12:18:00.000
1306,CUST-000378,2025-11-19 12:07:06.000,2025-11-19 12:20:06.000
1284,CUST-004668,2025-11-19 12:16:15.000,2025-11-19 12:27:15.000
1298,CUST-004504,2025-11-19 12:19:00.000,2025-11-19 12:23:00.000
1187,CUST-001056,2025-11-19 12:21:00.000,2025-11-19 12:34:00.000
1320,CUST-000849,2025-11-19 12:21:46.000,2025-11-19 12:28:46.000
2595,CUST-001201,2025-11-19 12:22:01.000,2025-11-19 12:30:01.000
2354,CUST-002053,2025-11-19 12:22:05.000,2025-11-19 12:37:05.000
2038,CUST-001474,2025-11-19 12:22:06.000,2025-11-19 12:33:06.000
2485,CUST-001780,2025-11-19 12:22:26.000,2025-11-19 12:38:26.000
2526,CUST-002242,2025-11-19 12:22:40.000,2025-11-19 12:36:40.000
1899,CUST-001728,2025-11-19 12:22:43.000,2025-11-19 12:32:43.000
2238,CUST-002466,2025-11-19 12:22:52.000,2025-11-19 12:26:52.000
2306,CUST-001782,2025-11-19 12:22:56.000,2025-11-19 12:29:56.000
2768,CUST-001356,2025-11-19 12:22:59.000,2025-11-19 12:29:59.000
2337,CUST-002511,2025-11-19 12:23:05.000,2025-11-19 12:34:05.000
2330,CUST-002565,2025-11-19 12:23:19.000,2025-11-19 12:33:19.000
2574,CUST-001368,2025-11-19 12:23:46.000,2025-11-19 12:27:46.000
2560,CUST-002161,2025-11-19 12:23:51.000,2025-11-19 12:29:51.000
1411,CUST-005110,2025-11-19 12:24:00.000,2025-11-19 12:37:00.000
2682,CUST-002315,2025-11-19 12:24:09.000,2025-11-19 12:30:09.000
1666,CUST-002851,2025-11-19 12:24:13.000,2025-11-19 12:28:13.000
2758,CUST-001780,2025-11-19 12:24:17.000,2025-11-19 12:37:17.000
2724,CUST-002434,2025-11-19 12:24:26.000,2025-11-19 12:32:26.000
2080,CUST-002662,2025-11-19 12:24:27.000,2025-11-19 12:39:27.000
2986,CUST-002345,2025-11-19 12:24:45.000,2025-11-19 12:36:45.000
2186,CUST-001555,2025-11-19 12:24:47.000,2025-11-19 12:32:47.000
1474,CUST-002483,2025-11-19 12:24:51.000,2025-11-19 12:29:51.000
2880,CUST-001337,2025-11-19 12:24:51.000,2025-11-19 12:35:51.000
1067,CUST-002009,2025-11-19 12:25:03.000,2025-11-19 12:40:03.000
2372,CUST-002696,2025-11-19 12:25:07.000,2025-11-19 12:39:07.000
1907,CUST-001784,2025-11-19 12:25:16.000,2025-11-19 12:41:16.000
2871,CUST-002287,2025-11-19 12:25:27.000,2025-11-19 12:36:27.000
1928,CUST-002814,2025-11-19 12:25:40.000,2025-11-19 12:33:40.000
2002,CUST-002101,2025-11-19 12:25:53.000,2025-11-19 12:40:53.000
2375,CUST-002335,2025-11-19 12:26:02.000,2025-11-19 12:38:02.000
2021,CUST-001784,2025-11-19 12:26:06.000,2025-11-19 12:41:06.000
2056,CUST-001302,2025-11-19 12:26:10.000,2025-11-19 12:31:10.000
2335,CUST-001980,2025-11-19 12:26:10.000,2025-11-19 12:31:10.000
2322,CUST-001722,2025-11-19 12:26:26.000,2025-11-19 12:38:26.000
2351,CUST-002657,2025-11-19 12:26:40.000,2025-11-19 12:37:40.000
2618,CUST-001679,2025-11-19 12:26:40.000,2025-11-19 12:38:40.000
2859,CUST-003136,2025-11-19 12:26:46.000,2025-11-19 12:36:46.000
1669,CUST-002235,2025-11-19 12:27:00.000,2025-11-19 12:40:00.000
2093,CUST-002799,2025-11-19 12:27:02.000,2025-11-19 12:34:02.000
1930,CUST-003002,2025-11-19 12:27:06.000,2025-11-19 12:40:06.000
2819,CUST-002697,2025-11-19 12:27:08.000,2025-11-19 12:33:08.000
1978,CUST-002941,2025-11-19 12:27:14.000,2025-11-19 12:32:14.000
2530,CUST-002020,2025-11-19 12:27:15.000,2025-11-19 12:39:15.000
1774,CUST-001743,2025-11-19 12:27:16.000,2025-11-19 12:33:16.000
1735,CUST-003144,2025-11-19 12:27:21.000,2025-11-19 12:40:21.000
2848,CUST-001475,2025-11-19 12:27:46.000,2025-11-19 12:36:46.000
2077,CUST-001464,2025-11-19 12:27:57.000,2025-11-19 12:41:57.000
2421,CUST-002312,2025-11-19 12:28:00.000,2025-11-19 12:42:00.000
1730,CUST-002510,2025-11-19 12:28:01.000,2025-11-19 12:33:01.000
2863,CUST-002520,2025-11-19 12:28:31.000,2025-11-19 12:40:31.000
2193,CUST-002422,2025-11-19 12:28:34.000,2025-11-19 12:42:34.000
2668,CUST-002339,2025-11-19 12:28:45.000,2025-11-19 12:35:45.000
